platform,campaign_name,spend,impressions,clicks,conversions,revenue,roi,actual_cpa,cpa_status
Meta,Meta_Campaign_916,1.429999948,7350,1,1,22.0,14.384615944055964,1.429999948,Under Target
Meta,Meta_Campaign_916,1.820000023,17861,2,0,0.0,-1.0,1.820000023,Under Target
Meta,Meta_Campaign_916,0.0,693,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,1.25,4259,1,0,0.0,-1.0,1.25,Under Target
Meta,Meta_Campaign_916,1.289999962,4133,1,1,22.0,16.054264068265145,1.289999962,Under Target
Meta,Meta_Campaign_916,0.0,1915,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_916,4.769999981,15615,3,0,0.0,-1.0,4.769999981,Over Target
Meta,Meta_Campaign_916,1.269999981,10951,1,1,22.0,16.32283490482981,1.269999981,Under Target
Meta,Meta_Campaign_916,1.5,2355,1,0,0.0,-1.0,1.5,Under Target
Meta,Meta_Campaign_916,3.159999967,9502,3,0,0.0,-1.0,3.159999967,Over Target
Meta,Meta_Campaign_916,0.0,1224,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,0.0,735,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,0.0,5117,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,0.0,5120,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,10.28000021,14669,7,1,22.0,1.1400777772941308,10.28000021,Over Target
Meta,Meta_Campaign_916,0.0,1241,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_916,0.569999993,2305,1,0,0.0,-1.0,0.569999993,Under Target
Meta,Meta_Campaign_916,0.0,1024,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_916,1.690000057,4627,1,0,0.0,-1.0,1.690000057,Under Target
Meta,Meta_Campaign_916,4.630000114,21026,4,1,22.0,3.751619753415841,4.630000114,Over Target
Meta,Meta_Campaign_916,0.0,1422,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_916,2.609999895,7132,2,0,0.0,-1.0,2.609999895,Over Target
Meta,Meta_Campaign_916,3.049999952,12190,2,0,0.0,-1.0,3.049999952,Over Target
Meta,Meta_Campaign_916,3.059999943,12193,2,1,22.0,6.189542617582983,3.059999943,Over Target
Meta,Meta_Campaign_916,0.0,3332,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_916,0.0,559,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,2.980000019,7440,2,1,22.0,6.382550288500517,2.980000019,Over Target
Meta,Meta_Campaign_916,5.5200001,19113,4,0,0.0,-1.0,5.5200001,Over Target
Meta,Meta_Campaign_916,1.690000057,10976,2,1,22.0,12.0177510402297,1.690000057,Under Target
Meta,Meta_Campaign_916,0.0,2861,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,0.0,1398,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_916,8.470000148,23817,7,1,22.0,1.597402552017051,8.470000148,Over Target
Meta,Meta_Campaign_916,15.82000017,47224,12,0,0.0,-1.0,15.82000017,Over Target
Meta,Meta_Campaign_916,1.470000029,2283,1,0,0.0,-1.0,1.470000029,Under Target
Meta,Meta_Campaign_916,1.529999971,2182,1,1,22.0,13.379085239865015,1.529999971,Under Target
Meta,Meta_Campaign_916,0.0,2654,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_916,18.06999969,57665,14,1,22.0,0.21748756930941598,18.06999969,Over Target
Meta,Meta_Campaign_916,1.610000014,3091,1,1,22.0,12.66459615446935,1.610000014,Under Target
Meta,Meta_Campaign_916,1.190000057,5014,1,0,0.0,-1.0,1.190000057,Under Target
Meta,Meta_Campaign_916,9.220000267,38726,7,0,0.0,-1.0,9.220000267,Over Target
Meta,Meta_Campaign_916,0.0,1473,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,0.0,1186,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,1.50999999,5369,1,0,0.0,-1.0,1.50999999,Under Target
Meta,Meta_Campaign_916,9.430000067,22221,7,1,22.0,1.3329798349618611,9.430000067,Over Target
Meta,Meta_Campaign_916,0.0,1185,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,6.960000038,13019,5,0,0.0,-1.0,6.960000038,Over Target
Meta,Meta_Campaign_916,1.220000029,2508,1,0,0.0,-1.0,1.220000029,Under Target
Meta,Meta_Campaign_916,2.799999952,5864,2,1,22.0,6.857142991836738,2.799999952,Over Target
Meta,Meta_Campaign_916,1.600000024,2783,1,0,0.0,-1.0,1.600000024,Under Target
Meta,Meta_Campaign_916,1.129999995,3812,1,1,22.0,18.469026634818704,1.129999995,Under Target
Meta,Meta_Campaign_916,5.730000019,11199,4,1,22.0,2.8394415230454815,5.730000019,Over Target
Meta,Meta_Campaign_916,0.0,292,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_916,9.379999995,17572,7,0,0.0,-1.0,9.379999995,Over Target
Meta,Meta_Campaign_916,0.0,1448,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_936,0.0,1772,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_936,5.629999995,13329,4,1,22.0,2.907637658887778,5.629999995,Over Target
Meta,Meta_Campaign_936,3.840000033,13659,3,0,0.0,-1.0,3.840000033,Over Target
Meta,Meta_Campaign_936,0.0,739,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_936,0.0,605,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_936,0.0,1030,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_936,1.039999962,5374,1,0,0.0,-1.0,1.039999962,Under Target
Meta,Meta_Campaign_936,0.0,790,0,1,22.0,22.0,0.0,Under Target
Meta,Meta_Campaign_936,0.0,962,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_936,1.460000038,4423,1,1,22.0,14.068492758491285,1.460000038,Under Target
Meta,Meta_Campaign_936,2.839999914,12382,2,1,22.0,6.746479107815917,2.839999914,Over Target
Meta,Meta_Campaign_936,1.350000024,2938,1,1,22.0,15.296296006584367,1.350000024,Under Target
Meta,Meta_Campaign_936,0.0,239,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_936,0.0,591,0,0,0.0,0.0,0.0,Under Target
Meta,Meta_Campaign_936,5.75,10332,4,0,0.0,-1.0,5.75,Over Target
Meta,Meta_Campaign_936,3.980000019,8259,3,0,0.0,-1.0,3.980000019,Over Target
Meta,Meta_Campaign_936,4.449999928,12158,3,0,0.0,-1.0,4.449999928,Over Target
Meta,Meta_Campaign_936,1.320000052,7709,2,0,0.0,-1.0,1.320000052,Under Target
