platform,campaign_name,spend,impressions,clicks,conversions,revenue
Meta,Meta_Campaign_916,1.429999948,7350.0,1,1.0,22.0
Meta,Meta_Campaign_916,1.820000023,17861.0,2,0.0,0.0
Meta,Meta_Campaign_916,0.0,693.0,0,0.0,0.0
Meta,Meta_Campaign_916,1.25,4259.0,1,0.0,0.0
Meta,Meta_Campaign_916,1.289999962,4133.0,1,1.0,22.0
Meta,Meta_Campaign_916,0.0,1915.0,0,1.0,22.0
Meta,Meta_Campaign_916,4.769999981,15615.0,3,0.0,0.0
Meta,Meta_Campaign_916,1.269999981,10951.0,1,1.0,22.0
Meta,Meta_Campaign_916,1.5,2355.0,1,0.0,0.0
Meta,Meta_Campaign_916,3.159999967,9502.0,3,0.0,0.0
Meta,Meta_Campaign_916,0.0,1224.0,0,0.0,0.0
Meta,Meta_Campaign_916,0.0,735.0,0,0.0,0.0
Meta,Meta_Campaign_916,0.0,5117.0,0,0.0,0.0
Meta,Meta_Campaign_916,0.0,5120.0,0,0.0,0.0
Meta,Meta_Campaign_916,10.28000021,14669.0,7,1.0,22.0
Meta,Meta_Campaign_916,0.0,1241.0,0,1.0,22.0
Meta,Meta_Campaign_916,0.569999993,2305.0,1,0.0,0.0
Meta,Meta_Campaign_916,0.0,1024.0,0,1.0,22.0
Meta,Meta_Campaign_916,1.690000057,4627.0,1,0.0,0.0
Meta,Meta_Campaign_916,4.630000114,21026.0,4,1.0,22.0
Meta,Meta_Campaign_916,0.0,1422.0,0,1.0,22.0
Meta,Meta_Campaign_916,2.609999895,7132.0,2,0.0,0.0
Meta,Meta_Campaign_916,3.049999952,12190.0,2,0.0,0.0
Meta,Meta_Campaign_916,3.059999943,12193.0,2,1.0,22.0
Meta,Meta_Campaign_916,0.0,3332.0,0,1.0,22.0
Meta,Meta_Campaign_916,0.0,559.0,0,0.0,0.0
Meta,Meta_Campaign_916,2.980000019,7440.0,2,1.0,22.0
Meta,Meta_Campaign_916,5.5200001,19113.0,4,0.0,0.0
Meta,Meta_Campaign_916,1.690000057,10976.0,2,1.0,22.0
Meta,Meta_Campaign_916,0.0,2861.0,0,0.0,0.0
Meta,Meta_Campaign_916,0.0,1398.0,0,1.0,22.0
Meta,Meta_Campaign_916,8.470000148,23817.0,7,1.0,22.0
Meta,Meta_Campaign_916,15.82000017,47224.0,12,0.0,0.0
Meta,Meta_Campaign_916,1.470000029,2283.0,1,0.0,0.0
Meta,Meta_Campaign_916,1.529999971,2182.0,1,1.0,22.0
Meta,Meta_Campaign_916,0.0,2654.0,0,1.0,22.0
Meta,Meta_Campaign_916,18.06999969,57665.0,14,1.0,22.0
Meta,Meta_Campaign_916,1.610000014,3091.0,1,1.0,22.0
Meta,Meta_Campaign_916,1.190000057,5014.0,1,0.0,0.0
Meta,Meta_Campaign_916,9.220000267,38726.0,7,0.0,0.0
Meta,Meta_Campaign_916,0.0,1473.0,0,0.0,0.0
Meta,Meta_Campaign_916,0.0,1186.0,0,0.0,0.0
Meta,Meta_Campaign_916,1.50999999,5369.0,1,0.0,0.0
Meta,Meta_Campaign_916,9.430000067,22221.0,7,1.0,22.0
Meta,Meta_Campaign_916,0.0,1185.0,0,0.0,0.0
Meta,Meta_Campaign_916,6.960000038,13019.0,5,0.0,0.0
Meta,Meta_Campaign_916,1.220000029,2508.0,1,0.0,0.0
Meta,Meta_Campaign_916,2.799999952,5864.0,2,1.0,22.0
Meta,Meta_Campaign_916,1.600000024,2783.0,1,0.0,0.0
Meta,Meta_Campaign_916,1.129999995,3812.0,1,1.0,22.0
Meta,Meta_Campaign_916,5.730000019,11199.0,4,1.0,22.0
Meta,Meta_Campaign_916,0.0,292.0,0,0.0,0.0
Meta,Meta_Campaign_916,9.379999995,17572.0,7,0.0,0.0
Meta,Meta_Campaign_916,0.0,1448.0,0,1.0,22.0
Meta,Meta_Campaign_936,0.0,1772.0,0,1.0,22.0
Meta,Meta_Campaign_936,5.629999995,13329.0,4,1.0,22.0
Meta,Meta_Campaign_936,3.840000033,13659.0,3,0.0,0.0
Meta,Meta_Campaign_936,0.0,739.0,0,1.0,22.0
Meta,Meta_Campaign_936,0.0,605.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1030.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.039999962,5374.0,1,0.0,0.0
Meta,Meta_Campaign_936,0.0,790.0,0,1.0,22.0
Meta,Meta_Campaign_936,0.0,962.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.460000038,4423.0,1,1.0,22.0
Meta,Meta_Campaign_936,2.839999914,12382.0,2,1.0,22.0
Meta,Meta_Campaign_936,1.350000024,2938.0,1,1.0,22.0
Meta,Meta_Campaign_936,0.0,239.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,591.0,0,0.0,0.0
Meta,Meta_Campaign_936,5.75,10332.0,4,0.0,0.0
Meta,Meta_Campaign_936,3.980000019,8259.0,3,0.0,0.0
Meta,Meta_Campaign_936,4.449999928,12158.0,3,0.0,0.0
Meta,Meta_Campaign_936,1.320000052,7709.0,2,0.0,0.0
Meta,Meta_Campaign_936,0.0,834.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1299.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,371.0,0,0.0,0.0
Meta,Meta_Campaign_936,4.090000033,10466.0,3,0.0,0.0
Meta,Meta_Campaign_936,0.0,839.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.529999971,5576.0,1,1.0,22.0
Meta,Meta_Campaign_936,0.0,4010.0,0,0.0,0.0
Meta,Meta_Campaign_936,10.03000009,39337.0,7,1.0,22.0
Meta,Meta_Campaign_936,0.0,1635.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1631.0,0,0.0,0.0
Meta,Meta_Campaign_936,4.25,13479.0,3,0.0,0.0
Meta,Meta_Campaign_936,20.29000032,57022.0,13,3.0,66.0
Meta,Meta_Campaign_936,1.389999986,5453.0,1,1.0,22.0
Meta,Meta_Campaign_936,4.440000057,11803.0,3,0.0,0.0
Meta,Meta_Campaign_936,1.570000052,4259.0,1,1.0,22.0
Meta,Meta_Campaign_936,0.0,1554.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.289999962,5323.0,1,1.0,22.0
Meta,Meta_Campaign_936,1.409999967,5024.0,1,1.0,22.0
Meta,Meta_Campaign_936,33.33000004,104648.0,24,2.0,44.0
Meta,Meta_Campaign_936,3.340000093,8504.0,3,1.0,22.0
Meta,Meta_Campaign_936,8.050000072,20277.0,6,0.0,0.0
Meta,Meta_Campaign_936,5.210000038,12403.0,4,1.0,22.0
Meta,Meta_Campaign_936,0.0,498.0,0,1.0,22.0
Meta,Meta_Campaign_936,0.0,652.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1357.0,0,1.0,22.0
Meta,Meta_Campaign_936,0.0,1393.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,648.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,708.0,0,1.0,22.0
Meta,Meta_Campaign_936,2.349999964,6907.0,2,0.0,0.0
Meta,Meta_Campaign_936,19.32999957,39035.0,13,0.0,0.0
Meta,Meta_Campaign_936,0.0,926.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.450000048,4412.0,1,0.0,0.0
Meta,Meta_Campaign_936,4.050000072,9965.0,3,0.0,0.0
Meta,Meta_Campaign_936,32.97999978,73634.0,23,0.0,0.0
Meta,Meta_Campaign_936,31.28999949,69708.0,20,0.0,0.0
Meta,Meta_Campaign_936,0.0,530.0,0,0.0,0.0
Meta,Meta_Campaign_936,8.789999962,14257.0,6,0.0,0.0
Meta,Meta_Campaign_936,9.119999886,20362.0,5,1.0,22.0
Meta,Meta_Campaign_936,6.26000011,12215.0,4,0.0,0.0
Meta,Meta_Campaign_936,38.63999999,85412.0,28,1.0,22.0
Meta,Meta_Campaign_936,0.239999995,2338.0,1,0.0,0.0
Meta,Meta_Campaign_936,0.0,2522.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,3587.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1273.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.090000033,3891.0,1,0.0,0.0
Meta,Meta_Campaign_936,0.0,1888.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1895.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,715.0,0,0.0,0.0
Meta,Meta_Campaign_936,2.680000067,11199.0,2,0.0,0.0
Meta,Meta_Campaign_936,3.00999999,5676.0,2,0.0,0.0
Meta,Meta_Campaign_936,0.0,1415.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.580000043,2148.0,1,1.0,22.0
Meta,Meta_Campaign_936,14.06000042,45401.0,10,0.0,0.0
Meta,Meta_Campaign_936,2.900000095,7478.0,2,1.0,22.0
Meta,Meta_Campaign_936,1.590000033,4919.0,1,0.0,0.0
Meta,Meta_Campaign_936,0.0,533.0,0,1.0,22.0
Meta,Meta_Campaign_936,0.0,1447.0,0,1.0,22.0
Meta,Meta_Campaign_936,4.590000153,17553.0,3,0.0,0.0
Meta,Meta_Campaign_936,0.540000021,3343.0,1,0.0,0.0
Meta,Meta_Campaign_936,0.0,523.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1873.0,0,0.0,0.0
Meta,Meta_Campaign_936,13.41000009,34740.0,7,1.0,22.0
Meta,Meta_Campaign_936,0.0,658.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,1539.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.860000014,3010.0,1,1.0,22.0
Meta,Meta_Campaign_936,10.77000046,27081.0,9,1.0,22.0
Meta,Meta_Campaign_936,5.590000153,20233.0,4,0.0,0.0
Meta,Meta_Campaign_936,58.16000044,147159.0,36,1.0,22.0
Meta,Meta_Campaign_936,10.61999977,21664.0,7,1.0,22.0
Meta,Meta_Campaign_936,5.460000038,9112.0,4,1.0,22.0
Meta,Meta_Campaign_936,0.0,542.0,0,0.0,0.0
Meta,Meta_Campaign_936,0.0,402.0,0,1.0,22.0
Meta,Meta_Campaign_936,0.0,1338.0,0,0.0,0.0
Meta,Meta_Campaign_936,20.17999983,46150.0,15,1.0,22.0
Meta,Meta_Campaign_936,176.3799977,493821.0,116,1.0,22.0
Meta,Meta_Campaign_936,34.39000046,92011.0,27,1.0,22.0
Meta,Meta_Campaign_936,5.49000001,12956.0,4,1.0,22.0
Meta,Meta_Campaign_936,0.0,529.0,0,0.0,0.0
Meta,Meta_Campaign_936,1.419999957,944.0,1,0.0,0.0
Meta,Meta_Campaign_936,51.97000027,111090.0,38,1.0,22.0
Meta,Meta_Campaign_936,3.190000057,7208.0,2,0.0,0.0
